    1.00000E-04     5.90195E-02     1.17710E+04     1.14408E+04     1.17705E+04     1.15748E+04
    1.00000E-04     6.33686E-02     1.12026E+04     1.08707E+04     1.12019E+04     1.10075E+04
    1.00000E-04     6.79163E-02     1.06064E+04     1.02771E+04     1.06064E+04     1.04192E+04
    1.00000E-04     7.26565E-02     9.92305E+03     9.60837E+03     9.91452E+03     9.75081E+03
    1.00000E-04     7.75807E-02     9.12656E+03     8.84382E+03     9.12145E+03     9.00447E+03
    1.00000E-04     8.26773E-02     8.24185E+03     8.01092E+03     8.24601E+03     8.20286E+03
    1.00000E-04     8.79318E-02     7.34008E+03     7.17453E+03     7.34405E+03     7.39791E+03
    1.00000E-04     9.33262E-02     6.51151E+03     6.41361E+03     6.51107E+03     6.66953E+03
    1.00000E-04     9.88385E-02     5.82940E+03     5.78906E+03     5.84124E+03     6.08743E+03
    1.00000E-04     1.04442E-01     5.32453E+03     5.32454E+03     5.34174E+03     5.64667E+03
    1.00000E-04     1.10107E-01     4.97953E+03     4.99996E+03     4.98147E+03     5.31419E+03
    1.00000E-04     1.15796E-01     4.74129E+03     4.76725E+03     4.72263E+03     5.05652E+03
    1.00000E-04     1.21467E-01     4.54312E+03     4.56943E+03     4.51846E+03     4.83862E+03
    1.00000E-04     1.27071E-01     4.33033E+03     4.36204E+03     4.32002E+03     4.62959E+03
    1.00000E-04     1.32551E-01     4.07868E+03     4.12791E+03     4.08323E+03     4.40698E+03
    1.00000E-04     1.37840E-01     3.79690E+03     3.87557E+03     3.80452E+03     4.17508E+03
    1.00000E-04     1.42858E-01     3.51353E+03     3.62811E+03     3.51988E+03     3.95747E+03
    1.00000E-04     1.47510E-01     3.25848E+03     3.40805E+03     3.26122E+03     3.76950E+03
    1.00000E-04     1.51674E-01     3.05116E+03     3.22984E+03     3.05102E+03     3.61885E+03
    1.00000E-04     1.55180E-01     2.89850E+03     3.09789E+03     2.90040E+03     3.50756E+03
    1.00000E-04     1.57741E-01     2.80115E+03     3.01338E+03     2.80709E+03     3.43461E+03
    1.00000E-04     1.58938E-01     2.75980E+03     2.97705E+03     2.76777E+03     3.40252E+03
    1.00000E-04     1.61337E-01     2.68466E+03     2.91042E+03     2.69641E+03     3.34141E+03
    1.00000E-04     1.64908E-01     2.59040E+03     2.82500E+03     2.60569E+03     3.25656E+03
    1.00000E-04     1.69430E-01     2.49562E+03     2.73619E+03     2.51096E+03     3.15668E+03
    1.00000E-04     1.74830E-01     2.40502E+03     2.64746E+03     2.41492E+03     3.04459E+03
    1.00000E-04     1.81086E-01     2.30853E+03     2.55223E+03     2.30662E+03     2.92072E+03
    1.00000E-04     1.88208E-01     2.18519E+03     2.43626E+03     2.16757E+03     2.78764E+03
    1.00000E-04     1.96224E-01     2.01927E+03     2.29080E+03     1.99879E+03     2.65355E+03
    1.00000E-04     2.05180E-01     1.82183E+03     2.12509E+03     1.81316E+03     2.52433E+03
    1.00000E-04     2.15132E-01     1.63312E+03     1.96686E+03     1.63558E+03     2.39908E+03
    1.00000E-04     2.26151E-01     1.48861E+03     1.83871E+03     1.48897E+03     2.26879E+03
    1.00000E-04     2.38320E-01     1.37751E+03     1.73220E+03     1.36868E+03     2.12905E+03
    1.00000E-04     2.51735E-01     1.25277E+03     1.61830E+03     1.25608E+03     1.98752E+03
    1.00000E-04     2.66504E-01     1.10380E+03     1.49224E+03     1.12969E+03     1.86459E+03
    1.00000E-04     2.82752E-01     9.75313E+02     1.38046E+03     9.94513E+02     1.76517E+03
    1.00000E-04     3.00617E-01     8.76224E+02     1.28680E+03     8.67122E+02     1.67441E+03
    1.00000E-04     3.20259E-01     7.70243E+02     1.19172E+03     7.60423E+02     1.57009E+03
    1.00000E-04     3.41852E-01     6.70615E+02     1.10238E+03     6.70467E+02     1.45402E+03
    1.00000E-04     3.65596E-01     5.88862E+02     1.02393E+03     5.87527E+02     1.34699E+03
    1.00000E-04     3.91712E-01     5.08298E+02     9.48424E+02     5.09346E+02     1.25519E+03
    1.00000E-04     4.20450E-01     4.39761E+02     8.80352E+02     4.38533E+02     1.16988E+03
    1.00000E-04     4.52090E-01     3.76803E+02     8.16759E+02     3.76565E+02     1.08363E+03
    1.00000E-04     4.86945E-01     3.22189E+02     7.58392E+02     3.22274E+02     9.98645E+02
    1.00000E-04     5.25367E-01     2.73589E+02     7.04104E+02     2.73842E+02     9.21680E+02
    1.00000E-04     5.67751E-01     2.31302E+02     6.53685E+02     2.31290E+02     8.49233E+02
    1.00000E-04     6.14539E-01     1.94601E+02     6.06608E+02     1.94446E+02     7.79401E+02
    1.00000E-04     6.66232E-01     1.62888E+02     5.62428E+02     1.62896E+02     7.10680E+02
    1.00000E-04     7.23388E-01     1.35668E+02     5.20766E+02     1.35674E+02     6.47466E+02
    1.00000E-04     7.86638E-01     1.12442E+02     4.81287E+02     1.12440E+02     5.87478E+02
    1.00000E-04     8.56693E-01     9.27375E+01     4.43705E+02     9.27021E+01     5.31438E+02
    1.00000E-04     9.34353E-01     7.61161E+01     4.07796E+02     7.61179E+01     4.77597E+02
    1.00000E-04     1.02052E+00     6.21740E+01     3.73383E+02     6.21609E+01     4.28452E+02
    1.00000E-04     1.11621E+00     5.05408E+01     3.40355E+02     5.05370E+01     3.82071E+02
    1.00000E-04     1.22258E+00     4.08883E+01     3.08642E+02     4.08799E+01     3.39488E+02
    1.00000E-04     1.34092E+00     3.29230E+01     2.78232E+02     3.29180E+01     3.00066E+02
    1.00000E-04     1.47270E+00     2.63848E+01     2.49154E+02     2.63829E+01     2.63842E+02
    1.00000E-04     1.61960E+00     2.10457E+01     2.21475E+02     2.10395E+01     2.31243E+02
    1.00000E-04     1.78349E+00     1.67091E+01     1.95296E+02     1.67091E+01     2.01122E+02
    1.00000E-04     1.96652E+00     1.32047E+01     1.70730E+02     1.32009E+01     1.74569E+02
    1.00000E-04     2.17110E+00     1.03876E+01     1.47900E+02     1.03860E+01     1.50460E+02
    1.00000E-04     2.40000E+00     8.13426E+00     1.26909E+02     8.13362E+00     1.28987E+02
